financial_year,sphere,geographic_region,vote_number,department_name,chapter_title
2017,provincial,Northern Cape,1,Office of the Premier,Vote 01 : Office of the Premier
2017,provincial,Northern Cape,2,Provincial Legislature,Vote 02 : Provincial Legislature
2017,provincial,Northern Cape,3,"Transport, Safety and Liaison","Vote 03 : Transport, Safety and Liaison"
2017,provincial,Northern Cape,4,Education,Vote 04 : Education
2017,provincial,Northern Cape,5,Roads and Public Works,Vote 05 : Roads and Public Works
2017,provincial,Northern Cape,6,Economic Development and Tourism,Vote 06 : Economic Development and Tourism
2017,provincial,Northern Cape,7,"Sport, Arts and Culture","Vote 07 : Sport, Arts and Culture"
2017,provincial,Northern Cape,8,Provincial Treasury,Vote 08 : Provincial Treasury
2017,provincial,Northern Cape,9,"Cooperative Governance, Human Settlement and Traditional Affairs","Vote 09 : Cooperative Governance, Human Settlement and Traditional Affairs"
2017,provincial,Northern Cape,10,Health,Vote 10 : Health
2017,provincial,Northern Cape,11,Social Development,Vote 11 : Social Development
2017,provincial,Northern Cape,12,"Agriculture, Land Reform and Rural Development","Vote 12 : Agriculture, Land Reform and Rural Development"
2017,provincial,Northern Cape,13,Environment and Nature Conservation,Vote 13 : Environment and Nature Conservation
2017,provincial,North West,1,Office of the Premier,Vote 01 : Office of the Premier
2017,provincial,North West,2,Provincial Legislature,Vote 02 : Provincial Legislature
2017,provincial,North West,3,Health,Vote 03 : Health
2017,provincial,North West,4,"Culture, Arts and Traditional Affairs","Vote 04 : Culture, Arts and Traditional Affairs"
2017,provincial,North West,5,Community Safety and Transport Management,Vote 05 : Community Safety and Transport Management
2017,provincial,North West,6,Economy and Entreprise Development,Vote 06 : Economy and Entreprise Development
2017,provincial,North West,7,Finance,Vote 07 : Finance
2017,provincial,North West,8,Education and Sports Development,Vote 08 : Education and Sports Development
2017,provincial,North West,9,Local Government and Human Settlements,Vote 09 : Local Government and Human Settlements
2017,provincial,North West,10,Tourism,Vote 10 : Tourism
2017,provincial,North West,11,Public Works and Roads,Vote 11 : Public Works and Roads
2017,provincial,North West,12,Social Development,Vote 12 : Social Development
2017,provincial,North West,13,Rural Environment and Agricultural Development,Vote 13 : Rural Environment and Agricultural Development
2017,provincial,Western Cape,1,Office of the Premier,Vote 01 : Office of the Premier
2017,provincial,Western Cape,2,Provincial Parliament,Vote 02 : Provincial Parliament
2017,provincial,Western Cape,3,Provincial Treasury,Vote 03 : Provincial Treasury
2017,provincial,Western Cape,4,Community Safety,Vote 04 : Community Safety
2017,provincial,Western Cape,5,Education,Vote 05 : Education
2017,provincial,Western Cape,6,Health,Vote 06 : Health
2017,provincial,Western Cape,7,Social Development,Vote 07 : Social Development
2017,provincial,Western Cape,8,Human Settlements,Vote 08 : Human Settlements
2017,provincial,Western Cape,9,Environmental Affairs and Development Planning,Vote 09 : Environmental Affairs and Development Planning
2017,provincial,Western Cape,10,Transport and Public Works,Vote 10 : Transport and Public Works
2017,provincial,Western Cape,11,Agriculture,Vote 11 : Agriculture
2017,provincial,Western Cape,12,Economical Development and Tourism,Vote 12 : Economical Development and Tourism
2017,provincial,Western Cape,13,Cultural Affairs and Sport,Vote 13 : Cultural Affairs and Sport
2017,provincial,Western Cape,14,Local Government,Vote 14 : Local Government
2015,national,South Africa,10,Public Service and Administration,Vote 10 : Public Service and Administration
2015,national,South Africa,11,Public Works,Vote 11 : Public Works
2015,national,South Africa,12,Statistics South Africa,Vote 12 : Statistics South Africa
2015,national,South Africa,13,Women,Vote 13 : Women
2015,national,South Africa,14,Basic Education,Vote 14 : Basic Education
2015,national,South Africa,15,Higher Education and Training,Vote 15 : Higher Education and Training
2015,national,South Africa,16,Health,Vote 16 : Health
2015,national,South Africa,17,Social Development,Vote 17 : Social Development
2015,national,South Africa,18,Correctional Services,Vote 18 : Correctional Services
2015,national,South Africa,19,Defence and Military Veterans,Vote 19 : Defence and Military Veterans
2015,national,South Africa,1,The Presidency,Vote 01 : The Presidency
2015,national,South Africa,20,Independent Police Investigative Directorate,Vote 20 : Independent Police Investigative Directorate
2015,national,South Africa,21,Justice and Constitutional Development,Vote 21 : Justice and Constitutional Development
2015,national,South Africa,22,Office of the Chief Justice and Judicial Administration,Vote 22 : Office of the Chief Justice and Judicial Administration
2015,national,South Africa,23,Police,Vote 23 : Police
2015,national,South Africa,24,Agriculture,Vote 24 : Agriculture
2015,national,South Africa,25,Economic Development,Vote 25 : Economic Development
2015,national,South Africa,26,Energy,Vote 26 : Energy
2015,national,South Africa,27,Environmental Affairs,Vote 27 : Environmental Affairs
2015,national,South Africa,28,Labour,Vote 28 : Labour
2015,national,South Africa,29,Mineral Resources,Vote 29 : Mineral Resources
2015,national,South Africa,2,Parliament,Vote 02 : Parliament
2015,national,South Africa,30,Science and Technology,Vote 30 : Science and Technology
2015,national,South Africa,31,Small Business Development,Vote 31 : Small Business Development
2015,national,South Africa,32,Telecommunications and Postal Services,Vote 32 : Telecommunications and Postal Services
2015,national,South Africa,33,Tourism,Vote 33 : Tourism
2015,national,South Africa,34,Trade and Industry,Vote 34 : Trade and Industry
2015,national,South Africa,35,Transport,Vote 35 : Transport
2015,national,South Africa,36,Water and Sanitation,Vote 36 : Water and Sanitation
2015,national,South Africa,37,Arts and Culture,Vote 37 : Arts and Culture
2015,national,South Africa,38,Human Settlements,Vote 38 : Human Settlements
2015,national,South Africa,39,Rural Development and Land Reform,Vote 39 : Rural Development and Land Reform
2015,national,South Africa,3,Communications,Vote 03 : Communications
2015,national,South Africa,40,Sport and Recreation South Africa,Vote 40 : Sport and Recreation South Africa
2015,national,South Africa,4,Cooperative Governance and Traditional Affairs,Vote 04 : Cooperative Governance and Traditional Affairs
2015,national,South Africa,5,Home Affairs,Vote 05 : Home Affairs
2015,national,South Africa,6,International Relations and Cooperation,Vote 06 : International Relations and Cooperation
2015,national,South Africa,7,National Treasury,Vote 07 : National Treasury
2015,national,South Africa,8,Planning,Vote 08 : Planning
2015,national,South Africa,9,Public Enterprises,Vote 09 : Public Enterprises
2016,national,South Africa,10,Public Service and Administration,Vote 10 : Public Service and Administration
2016,national,South Africa,11,Public Works,Vote 11 : Public Works
2016,national,South Africa,12,Statistics South Africa,Vote 12 : Statistics South Africa
2016,national,South Africa,13,Women,Vote 13 : Women
2016,national,South Africa,14,Basic Education,Vote 14 : Basic Education
2016,national,South Africa,15,Higher Education and Training,Vote 15 : Higher Education and Training
2016,national,South Africa,16,Health,Vote 16 : Health
2016,national,South Africa,17,Social Development,Vote 17 : Social Development
2016,national,South Africa,18,Correctional Services,Vote 18 : Correctional Services
2016,national,South Africa,19,Defence and Military Veterans,Vote 19 : Defence and Military Veterans
2016,national,South Africa,1,The Presidency,Vote 01 : The Presidency
2016,national,South Africa,20,Independent Police Investigative Directorate,Vote 20 : Independent Police Investigative Directorate
2016,national,South Africa,21,Justice and Constitutional Development,Vote 21 : Justice and Constitutional Development
2016,national,South Africa,22,Office of the Chief Justice and Judicial Administration,Vote 22 : Office of the Chief Justice and Judicial Administration
2016,national,South Africa,23,Police,Vote 23 : Police
2016,national,South Africa,24,Agriculture,Vote 24 : Agriculture
2016,national,South Africa,25,Economic Development,Vote 25 : Economic Development
2016,national,South Africa,26,Energy,Vote 26 : Energy
2016,national,South Africa,27,Environmental Affairs,Vote 27 : Environmental Affairs
2016,national,South Africa,28,Labour,Vote 28 : Labour
2016,national,South Africa,29,Mineral Resources,Vote 29 : Mineral Resources
2016,national,South Africa,2,Parliament,Vote 02 : Parliament
2016,national,South Africa,30,Science and Technology,Vote 30 : Science and Technology
2016,national,South Africa,31,Small Business Development,Vote 31 : Small Business Development
2016,national,South Africa,32,Telecommunications and Postal Services,Vote 32 : Telecommunications and Postal Services
2016,national,South Africa,33,Tourism,Vote 33 : Tourism
2016,national,South Africa,34,Trade and Industry,Vote 34 : Trade and Industry
2016,national,South Africa,35,Transport,Vote 35 : Transport
2016,national,South Africa,36,Water and Sanitation,Vote 36 : Water and Sanitation
2016,national,South Africa,37,Arts and Culture,Vote 37 : Arts and Culture
2016,national,South Africa,38,Human Settlements,Vote 38 : Human Settlements
2016,national,South Africa,39,Rural Development and Land Reform,Vote 39 : Rural Development and Land Reform
2016,national,South Africa,3,Communications,Vote 03 : Communications
2016,national,South Africa,40,Sport and Recreation South Africa,Vote 40 : Sport and Recreation South Africa
2016,national,South Africa,4,Cooperative Governance and Traditional Affairs,Vote 04 : Cooperative Governance and Traditional Affairs
2016,national,South Africa,5,Home Affairs,Vote 05 : Home Affairs
2016,national,South Africa,6,International Relations and Cooperation,Vote 06 : International Relations and Cooperation
2016,national,South Africa,7,National Treasury,Vote 07 : National Treasury
2016,national,South Africa,8,Planning,Vote 08 : Planning
2016,national,South Africa,9,Public Enterprises,Vote 09 : Public Enterprises
2017,national,South Africa,10,Public Service and Administration,Vote 10 : Public Service and Administration
2017,national,South Africa,11,Public Works,Vote 11 : Public Works
2017,national,South Africa,12,Statistics South Africa,Vote 12 : Statistics South Africa
2017,national,South Africa,13,Women,Vote 13 : Women
2017,national,South Africa,14,Basic Education,Vote 14 : Basic Education
2017,national,South Africa,15,Higher Education and Training,Vote 15 : Higher Education and Training
2017,national,South Africa,16,Health,Vote 16 : Health
2017,national,South Africa,17,Social Development,Vote 17 : Social Development
2017,national,South Africa,18,Correctional Services,Vote 18 : Correctional Services
2017,national,South Africa,19,Defence and Military Veterans,Vote 19 : Defence and Military Veterans
2017,national,South Africa,1,The Presidency,Vote 01 : The Presidency
2017,national,South Africa,20,Independent Police Investigative Directorate,Vote 20 : Independent Police Investigative Directorate
2017,national,South Africa,21,Justice and Constitutional Development,Vote 21 : Justice and Constitutional Development
2017,national,South Africa,22,Office of the Chief Justice and Judicial Administration,Vote 22 : Office of the Chief Justice and Judicial Administration
2017,national,South Africa,23,Police,Vote 23 : Police
2017,national,South Africa,24,"Agriculture, Forestry and Fisheries","Vote 24 : Agriculture, Forestry and Fisheries"
2017,national,South Africa,25,Economic Development,Vote 25 : Economic Development
2017,national,South Africa,26,Energy,Vote 26 : Energy
2017,national,South Africa,27,Environmental Affairs,Vote 27 : Environmental Affairs
2017,national,South Africa,28,Labour,Vote 28 : Labour
2017,national,South Africa,29,Mineral Resources,Vote 29 : Mineral Resources
2017,national,South Africa,2,Parliament,Vote 02 : Parliament
2017,national,South Africa,30,Science and Technology,Vote 30 : Science and Technology
2017,national,South Africa,31,Small Business Development,Vote 31 : Small Business Development
2017,national,South Africa,32,Telecommunications and Postal Services,Vote 32 : Telecommunications and Postal Services
2017,national,South Africa,33,Tourism,Vote 33 : Tourism
2017,national,South Africa,34,Trade and Industry,Vote 34 : Trade and Industry
2017,national,South Africa,35,Transport,Vote 35 : Transport
2017,national,South Africa,36,Water and Sanitation,Vote 36 : Water and Sanitation
2017,national,South Africa,37,Arts and Culture,Vote 37 : Arts and Culture
2017,national,South Africa,38,Human Settlements,Vote 38 : Human Settlements
2017,national,South Africa,39,Rural Development and Land Reform,Vote 39 : Rural Development and Land Reform
2017,national,South Africa,3,Communications,Vote 03 : Communications
2017,national,South Africa,40,Sport and Recreation South Africa,Vote 40 : Sport and Recreation South Africa
2017,national,South Africa,4,Cooperative Governance and Traditional Affairs,Vote 04 : Cooperative Governance and Traditional Affairs
2017,national,South Africa,5,Home Affairs,Vote 05 : Home Affairs
2017,national,South Africa,6,International Relations and Cooperation,Vote 06 : International Relations and Cooperation
2017,national,South Africa,7,National Treasury,Vote 07 : National Treasury
2017,national,South Africa,8,"Planning, Monitoring and Evaluation","Vote 08 : Planning, Monitoring and Evaluation"
2017,national,South Africa,9,Public Enterprises,Vote 09 : Public Enterprises
